bandwidth,computation_nodes,energy_consumption,storage_capacity
15,1.7033694982528687,0.0,5120
106,1.2455317974090576,0.0,81920
23,1.9813975095748901,0.0,2050
39,1.032776951789856,0.0,38913
37,1.0291895866394043,0.0,79872
40,1.5994356870651245,0.0,7169
12,1.8903734683990479,0.0,5120
55,1.7679532766342163,0.0,3072
55,2.052934408187866,0.0,8192
120,1.106387972831726,0.0,5121
105,1.8878411054611206,0.0,2050
60,2.070427417755127,0.0,6145
91,9.317618370056152,0.0,2049
102,8.309408187866211,0.0,74752
49,6.911592960357666,0.0,0
60,9.465934753417969,0.0,76800
32,9.336441993713379,0.0,1024
101,8.680700302124023,0.0,74752
93,6.285610198974609,0.0,74752
71,6.979243755340576,0.0,74752
40,8.752647399902344,0.0,2050
16,6.916192054748535,0.0,10240
39,7.070963382720947,0.0,35841
52,9.505470275878906,0.0,5120
94,7.5825276374816895,0.0,1
790,1.1535933017730713,0.0,5121
709,1.821715235710144,0.0,0
635,1.3981961011886597,0.0,1026
628,1.8313603401184082,0.0,3072
708,1.8712873458862305,0.0,0
719,1.41978120803833,0.0,30721
602,1.9468576908111572,0.0,1026
737,1.749881386756897,0.0,71680
675,1.3741930723190308,0.0,6144
784,1.0035698413848877,0.0,5121
795,2.0690770149230957,0.0,2050
676,1.9575704336166382,0.0,30721
639,8.435880661010742,0.0,0
799,8.157516479492188,0.0,2050
725,8.39577865600586,0.0,1
678,9.514887809753418,0.0,0
620,9.512038230895996,0.0,3072
794,9.264093399047852,0.0,0
721,6.513566017150879,0.0,0
755,7.0602264404296875,0.0,0
793,9.715654373168945,0.0,0
702,8.85179615020752,0.0,71680
732,7.493681907653809,0.0,0
686,6.898789405822754,0.0,30721
656,6.920458793640137,0.0,71680
